hyperparameters,iteration,runtime,score
"{'n_estimators': 1016, 'learning_rate': 0.013572855364473066, 'num_leaves': 42, 'reg_alpha': 0.37755102040816324, 'reg_lambda': 0.2755102040816326, 'colsample_bytree': 0.6, 'subsample': 0.6121212121212121, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.32653061224489793}",1,146.22905174600004,0.777421072291465
"{'n_estimators': 17, 'learning_rate': 2.990856326902921e-05, 'num_leaves': 70, 'reg_alpha': 0.4591836734693877, 'reg_lambda': 0.4183673469387755, 'colsample_bytree': 0.9555555555555555, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 14, 'min_split_gain': 0.17346938775510204}",2,54.55115361200001,0.7224382562776807
"{'n_estimators': 1209, 'learning_rate': 0.011579782655705981, 'num_leaves': 21, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.1020408163265306, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7737373737373737, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.4897959183673469}",3,165.032235739,0.7746720015061622
"{'n_estimators': 46, 'learning_rate': 5.089766260282484e-05, 'num_leaves': 43, 'reg_alpha': 0.24489795918367346, 'reg_lambda': 0.061224489795918366, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.7777777777777778, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 12, 'min_split_gain': 0.3469387755102041}",4,42.297562817000085,0.7275934715073271
"{'n_estimators': 2725, 'learning_rate': 0.02407497775713572, 'num_leaves': 116, 'reg_alpha': 0.0510204081632653, 'reg_lambda': 0.3571428571428571, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.9232323232323232, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 8, 'min_split_gain': 0.4591836734693877}",5,1733.7322576769998,0.7776493978228777
"{'n_estimators': 75, 'learning_rate': 3.4101339642488265e-05, 'num_leaves': 78, 'reg_alpha': 0.5, 'reg_lambda': 0.18367346938775508, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 9, 'min_split_gain': 0.29591836734693877}",6,55.32864481899969,0.7399869303079509
"{'n_estimators': 7191, 'learning_rate': 0.009031213139885023, 'num_leaves': 113, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.2346938775510204, 'colsample_bytree': 0.8222222222222222, 'subsample': 0.705050505050505, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.3877551020408163}",7,3763.410639515,0.777793861813797
"{'n_estimators': 71, 'learning_rate': 8.310128508664356e-05, 'num_leaves': 82, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.29591836734693877, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7373737373737373, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 10, 'min_split_gain': 0.5}",8,75.82416465799997,0.7293254117048669
"{'n_estimators': 68, 'learning_rate': 3.679234604446412e-05, 'num_leaves': 78, 'reg_alpha': 0.02040816326530612, 'reg_lambda': 0.2040816326530612, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.7373737373737373, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 14, 'min_split_gain': 0.4591836734693877}",9,64.61296470199977,0.7286255458264044
"{'n_estimators': 17, 'learning_rate': 0.00011105917474353326, 'num_leaves': 147, 'reg_alpha': 0.25510204081632654, 'reg_lambda': 0.4183673469387755, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.6727272727272727, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.47959183673469385}",10,49.157133202000296,0.7279489302921339
"{'n_estimators': 898, 'learning_rate': 0.0011146296656171187, 'num_leaves': 87, 'reg_alpha': 0.47959183673469385, 'reg_lambda': 0.37755102040816324, 'colsample_bytree': 0.8666666666666667, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 8, 'min_split_gain': 0.08163265306122448}",11,372.72870876900015,0.7443996474459591
"{'n_estimators': 78, 'learning_rate': 0.000811314002062944, 'num_leaves': 43, 'reg_alpha': 0.4897959183673469, 'reg_lambda': 0.030612244897959183, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6767676767676767, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 11, 'min_split_gain': 0.3877551020408163}",12,52.78716832800001,0.737563486422071
"{'n_estimators': 17, 'learning_rate': 0.00037698999956814396, 'num_leaves': 117, 'reg_alpha': 0.3877551020408163, 'reg_lambda': 0.29591836734693877, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.7292929292929293, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.4387755102040816}",13,38.19280581299972,0.7220239603471003
"{'n_estimators': 909, 'learning_rate': 0.001099342797748688, 'num_leaves': 88, 'reg_alpha': 0.5, 'reg_lambda': 0.4183673469387755, 'colsample_bytree': 0.8222222222222222, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 7, 'min_split_gain': 0.29591836734693877}",14,299.07137906299977,0.744927462904154
"{'n_estimators': 1056, 'learning_rate': 0.020969654473681015, 'num_leaves': 87, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.4897959183673469, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8585858585858586, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 9, 'min_split_gain': 0.4081632653061224}",15,559.1394064740007,0.7723128567614664
"{'n_estimators': 80, 'learning_rate': 0.0018324799429408176, 'num_leaves': 70, 'reg_alpha': 0.09183673469387754, 'reg_lambda': 0.2346938775510204, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.8787878787878788, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 10, 'min_split_gain': 0.31632653061224486}",16,70.21774170300068,0.7378161025768457
"{'n_estimators': 75, 'learning_rate': 5.4536234514711206e-05, 'num_leaves': 112, 'reg_alpha': 0.19387755102040816, 'reg_lambda': 0.1530612244897959, 'colsample_bytree': 0.6, 'subsample': 0.7212121212121212, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 12, 'min_split_gain': 0.04081632653061224}",17,67.73836673700043,0.7426915919278141
"{'n_estimators': 935, 'learning_rate': 0.0010693951533783622, 'num_leaves': 52, 'reg_alpha': 0.08163265306122448, 'reg_lambda': 0.42857142857142855, 'colsample_bytree': 0.9111111111111111, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 13, 'min_split_gain': 0.3877551020408163}",18,337.79590930499944,0.739894513772074
"{'n_estimators': 44, 'learning_rate': 0.02262441276257798, 'num_leaves': 74, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 0.4897959183673469, 'colsample_bytree': 0.7333333333333333, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 10, 'min_split_gain': 0.2857142857142857}",19,34.734823546999905,0.7454663737902036
"{'n_estimators': 9292, 'learning_rate': 0.000957543506352234, 'num_leaves': 135, 'reg_alpha': 0.07142857142857142, 'reg_lambda': 0.1530612244897959, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.6323232323232323, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 14, 'min_split_gain': 0.3571428571428571}",20,2114.9579473720005,0.7776723992929309
"{'n_estimators': 5469, 'learning_rate': 0.001585133625430036, 'num_leaves': 76, 'reg_alpha': 0.0, 'reg_lambda': 0.04081632653061224, 'colsample_bytree': 0.6, 'subsample': 0.7171717171717171, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 10, 'min_split_gain': 0.04081632653061224}",21,1293.2067857040001,0.7757058314818499
"{'n_estimators': 75, 'learning_rate': 0.00013289891891262893, 'num_leaves': 91, 'reg_alpha': 0.42857142857142855, 'reg_lambda': 0.31632653061224486, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.8787878787878788, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 14, 'min_split_gain': 0.36734693877551017}",22,77.81869630999972,0.735385649061671
"{'n_estimators': 75, 'learning_rate': 0.00013756726502078164, 'num_leaves': 141, 'reg_alpha': 0.26530612244897955, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 11, 'min_split_gain': 0.26530612244897955}",23,74.86364875899926,0.7427338020864017
"{'n_estimators': 78, 'learning_rate': 0.011109845566806007, 'num_leaves': 33, 'reg_alpha': 0.4387755102040816, 'reg_lambda': 0.4183673469387755, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6282828282828282, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 10, 'min_split_gain': 0.061224489795918366}",24,49.34916319600052,0.7406687335456557
"{'n_estimators': 75, 'learning_rate': 9.606851795385262e-05, 'num_leaves': 68, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 0.2857142857142857, 'colsample_bytree': 0.6888888888888889, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 12, 'min_split_gain': 0.1530612244897959}",25,59.10233890299969,0.7363208519979817
"{'n_estimators': 1553, 'learning_rate': 0.016928973038405935, 'num_leaves': 39, 'reg_alpha': 0.2857142857142857, 'reg_lambda': 0.3571428571428571, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.6242424242424243, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.1020408163265306}",26,231.45564311199996,0.7771341959491137
"{'n_estimators': 8911, 'learning_rate': 0.0007677134039628108, 'num_leaves': 143, 'reg_alpha': 0.13265306122448978, 'reg_lambda': 0.25510204081632654, 'colsample_bytree': 0.6, 'subsample': 0.6848484848484848, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 11, 'min_split_gain': 0.16326530612244897}",27,2705.5910405369996,0.7758333822397432
"{'n_estimators': 2414, 'learning_rate': 0.006306843866838876, 'num_leaves': 136, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.2755102040816326, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.9393939393939394, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.18367346938775508}",28,594.8140801259997,0.7763574234688814
"{'n_estimators': 729, 'learning_rate': 0.02325799321724963, 'num_leaves': 34, 'reg_alpha': 0.37755102040816324, 'reg_lambda': 0.47959183673469385, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6282828282828282, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 5, 'min_split_gain': 0.37755102040816324}",29,100.77180680499987,0.7753691373247373
"{'n_estimators': 78, 'learning_rate': 0.0008633314269277188, 'num_leaves': 60, 'reg_alpha': 0.030612244897959183, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.692929292929293, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.4387755102040816}",30,50.27922943699923,0.7373482531384543
