hyperparameters,iteration,runtime,score
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.6666666666666666, 'min_child_weight': 9, 'learning_rate': 0.001574226242141339, 'max_depth': 9}",1,736.818091392,0.7523774045201572
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.5555555555555556, 'min_child_weight': 5, 'learning_rate': 0.00011736653686373381, 'max_depth': 7}",2,487.53649752,0.7439253923771374
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.0, 'min_child_weight': 6, 'learning_rate': 0.00109177816529856, 'max_depth': 6}",3,460.2091159300003,0.7405261740698305
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.1111111111111111, 'min_child_weight': 7, 'learning_rate': 0.0016183113191207382, 'max_depth': 9}",4,874.3811170510003,0.7472116975380098
"{'subsample': 0.5, 'colsample_bytree': 0.5, 'gamma': 0.0, 'min_child_weight': 3, 'learning_rate': 3.730396055970278e-05, 'max_depth': 5}",5,302.31832333400007,0.7373683957519018
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.1111111111111111, 'min_child_weight': 2, 'learning_rate': 0.012932429040599179, 'max_depth': 8}",6,631.6924404470001,0.7729625242134894
"{'subsample': 0.5, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.4444444444444444, 'min_child_weight': 3, 'learning_rate': 0.018264872897555955, 'max_depth': 5}",7,368.7558400759999,0.7726275847886976
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.1111111111111111, 'min_child_weight': 8, 'learning_rate': 0.0028903835452077464, 'max_depth': 4}",8,319.33261044899973,0.73154901576135
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.6666666666666666, 'min_child_weight': 3, 'learning_rate': 0.0014896261914485573, 'max_depth': 3}",9,214.4254024840002,0.7250729531366671
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.8888888888888888, 'min_child_weight': 1, 'learning_rate': 0.00036672026162893516, 'max_depth': 6}",10,414.6767028740005,0.7401481530428956
